what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1488039908286
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1488039931913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039933170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039933834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039933839
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039934597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039934966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039934971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039935615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039936376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039936381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039937252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039937653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039937659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039938381
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1488039938766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039938783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039938809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039941217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039941668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039941673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039942790
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039943222
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039943228
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1488039945173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039947178
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039947639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488039947651
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488039948349
