what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1491762013370
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1491762013371
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1491762013371
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1491762013372
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1491762013374
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1491762013375
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1491762013375
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1491762013375
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1491762013375
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1491762013375
os,sysinfo,,,"win32",1491762013375
arch,sysinfo,,,"x86_64",1491762013375
ws,sysinfo,,,"win32",1491762013375
locale,sysinfo,,,"en",1491762013375
processors,sysinfo,,,"8",1491762013375
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1491762013375
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1491762013375
java.specification.name,sysinfo,,,"Java Platform API Specification",1491762013375
java.specification.vendor,sysinfo,,,"Oracle Corporation",1491762013375
java.specification.version,sysinfo,,,"1.8",1491762013375
java.vendor,sysinfo,,,"Oracle Corporation",1491762013375
java.version,sysinfo,,,"1.8.0_121",1491762013375
java.vm.info,sysinfo,,,"mixed mode",1491762013375
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1491762013375
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1491762013375
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1491762013375
java.vm.specification.version,sysinfo,,,"1.8",1491762013375
java.vm.vendor,sysinfo,,,"Oracle Corporation",1491762013375
java.vm.version,sysinfo,,,"25.121-b13",1491762013375
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1491762013459
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1491762013559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491762017874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491762036303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491762053121
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491805292074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491805299001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491805307290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491805452470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491849017298
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1491849019344
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1491849020019
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1491849020022
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1491849020049
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1491849020059
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1491849020070
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1491849020075
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1492194753180
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1492194753181
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1492194753181
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1492194753181
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1492194753182
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1492194753182
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1492194753183
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1492194753183
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1492194753184
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1492194753184
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1492194753185
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1492194753185
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1492194753186
