what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487681623431
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487681623593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487681963166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487681982282
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487681987976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487681996417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682072112
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487682072280
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487682077924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682147920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682177867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1487682180528
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1487682183344
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682197249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682197398
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487682305871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682321507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682334304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682343764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487682378775
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487682378936
