what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1490971817285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490971822826
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490971832188
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490971833395
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972181120
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490972184559
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1490972184878
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1490972184983
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1490972189035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490972189669
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1490972197187
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1490972198675
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1490972200195
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490972218429
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490972224509
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972227073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972232295
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1490972236037
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490972238284
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490972240893
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972246235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490972248254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972250180
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1490972250520
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1490972250581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972292207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972297818
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1490972298010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490972301199
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490972311272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490972315964
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490972318217
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972322167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490972323799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972325438
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1490972326035
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1490972326112
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490972393590
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972403557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972413981
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490972414365
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490972414438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972438609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972442832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972462090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972495735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490972497035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490978248012
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1490978250380
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490978253808
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490978265631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490978269611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490978364472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490978364833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490978369096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490978929447
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490979177232
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1490979217397
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490979220590
