what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880617001
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1490880651935
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1490880686526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490880694996
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490880697609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880703009
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880707232
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880749099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490880752810
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880755530
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880763329
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880763904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880784279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880797170
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880807953
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880816511
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880821646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880822375
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880823102
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880842192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880895978
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880900041
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880902136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880912072
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880927299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880928823
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880929701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880930174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490880933770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880936166
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1490880936568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490880940126
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880942064
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880953466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880962948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490880998805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881014835
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881015698
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881015913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881040883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881041043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881049803
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490881054067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490881068898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490881092917
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490881175753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490881175998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881181086
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881181220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881181820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881181932
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881182436
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881182563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881234764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490881235932
