what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202937947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202939386
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1488202939392
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488202944942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202968453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202968554
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202968820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488202980400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488203000106
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488203002144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203008679
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203008771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203009026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203016573
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488203058652
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1488203070346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1488203071012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1488203075384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203105269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203118421
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1488203118432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488203123488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488204168105
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1488204168117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1488204170413
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204172818
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204181232
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204186672
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204186673
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204187811
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204187811
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1488204189141
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1488204190467
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204193769
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1488204193807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1488204202674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488204206550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1488204236714
