what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490386495823
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1490386497033
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386509245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386511313
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1490386511352
error,log,,,"Server Tomcat v7.0 Server at localhost (4) failed to start.",1490386511821
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386511848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386511948
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490386511948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386523003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386523156
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490386530539
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490386530561
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490386536122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386543842
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386561783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1490386561799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386567206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386569117
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1490386569141
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1490386569141
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386577465
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.ui",1490386581400
started,bundle,org.eclipse.jst.server.ui,1.1.100.v20100511,"org.eclipse.jst.server.ui",1490386585617
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.100.v201005171604,"org.eclipse.jst.common.project.facet.ui",1490386585617
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386644553
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1490386644553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386652344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386701836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1490386705647
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386711748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386784188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1490386784206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386802367
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386903145
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386912568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386954806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386957698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386957814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386966762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490386976158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1490386976173
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1490386976173
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490386985932
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1490386986048
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490386987725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490387008810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490387017434
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1490387045316
